0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16764514,GGHB,161020.0,2016-10-20 08:05:00,1183-Trfc Collision-Unkn Inj,I880 N / 29th Ave Onr,Oakland FSP,,,37.776622,-122.235948,4.0,1.0,53000.0,880.0,N,28.873,39.1,,52.0
16768914,GGHB,161022.0,2016-10-22 08:01:00,1179-Trfc Collision-1141 Enrt,I880 N / 23rd Ave Onr,Oakland,,,37.78143,-122.238637,4.0,1.0,53000.0,880.0,N,29.273,39.5,,83.0
16779414,GGHB,161027.0,2016-10-27 08:29:00,1125-Traffic Hazard,0 I80 W,San Francisco,,,37.823997,-122.316876,4.0,1.0,53000.0,80.0,W,1.79,7.1,,72.0
18608389,GGHB,190314.0,2019-03-14 08:24:00,20002-Hit and Run No Injuries,I80 W / Gilman St Ofr,Oakland FSP,,,37.881911,-122.308246,4.0,1.0,6000.0,80.0,W,6.79,12.1,,54.0
18610643,GGHB,190315.0,2019-03-15 08:13:00,1179-Trfc Collision-1141 Enrt,I80 W / Sr13 I80 W Con,Oakland,,,37.844546,-122.297993,4.0,1.0,22594.0,80.0,W,4.29,9.6,,56.0
18618837,GGHB,190319.0,2019-03-19 07:31:00,1125-Traffic Hazard,I580 W / Fairmont Dr Ofr,Castro Valley,,,37.706039,-122.118195,4.0,1.0,,580.0,W,R32.586,48.5,,426.0
18618890,GGHB,190319.0,2019-03-19 08:03:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Loveridge Rd Ofr,Contra Costa FSP,,,38.011402,-121.864671,4.0,13.0,57456.0,4.0,W,24.434,24.061,,32.0
18623184,GGHB,190321.0,2019-03-21 07:48:00,1183-Trfc Collision-Unkn Inj,Sr24 W / Camino Pablo Onr,Contra Costa FSP,,,37.875588,-122.187732,4.0,13.0,54232.0,24.0,W,R2.052,6.4,,40.0
18625448,GGHB,190322.0,2019-03-22 08:12:00,1183-Trfc Collision-Unkn Inj,Sr4 W / Port Chicago Hwy Ofr,Contra Costa,,,38.010708,-122.017546,4.0,13.0,16000.0,4.0,W,R15.75,15.413,,258.0
17128575,GGHB,170410.0,2017-04-10 08:19:00,1125-Traffic Hazard,College Ave Ofr / Sr24 W,Oakland,,,37.849184,-122.242346,4.0,1.0,53000.0,24.0,W,R4.347,2.5,,52.0
17130421,GGHB,170411.0,2017-04-11 07:36:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Loveridge Rd Onr,Contra Costa,,,38.012924,-121.871506,4.0,13.0,57456.0,4.0,W,24.048,23.665,,77.0
17130431,GGHB,170411.0,2017-04-11 07:41:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Loveridge Rd Onr,Contra Costa FSP,,,38.012924,-121.871506,4.0,13.0,57456.0,4.0,W,24.048,23.665,,39.0
17152913,GGHB,170422.0,2017-04-22 07:47:00,1179-Trfc Collision-1141 Enrt,I880 N / 5th Ave Ofr,Oakland,,,37.789339,-122.254281,4.0,1.0,53000.0,880.0,N,30.273,40.5,,92.0
17953098,GGHB,180511.0,2018-05-11 08:59:00,1179-Trfc Collision-1141 Enrt,Sr4 W / San Marco Blvd Ofr,Contra Costa,,,38.022038,-121.960192,4.0,13.0,,4.0,W,R19.062,18.744,,93.0
18217240,GGHB,180912.0,2018-09-12 07:36:00,1179-Trfc Collision-1141 Enrt,I80 W / Treasure Island Onr,San Francisco,,,37.808318,-122.367026,4.0,75.0,67000.0,80.0,W,7.64,4.1,,213.0
18217431,GGHB,180912.0,2018-09-12 08:59:00,1179-Trfc Collision-1141 Enrt,Sr24 W / Camino Pablo Ofr,Contra Costa,,,37.88436,-122.179679,4.0,13.0,54232.0,24.0,W,R2.752,7.1,,109.0
18219449,GGHB,180913.0,2018-09-13 08:35:00,1182-Trfc Collision-No Inj,I880 N / 23rd Ave Ofr,Oakland FSP,,,37.7768,-122.236139,4.0,1.0,53000.0,880.0,N,28.873,39.1,,48.0
18221670,GGHB,180914.0,2018-09-14 08:12:00,1183-Trfc Collision-Unkn Inj,I880 N / Washington Ave Ofr,Hayward FSP,,,37.689197,-122.135642,4.0,1.0,68084.0,880.0,N,20.573,30.8,,42.0
18221671,GGHB,180914.0,2018-09-14 08:11:00,1183-Trfc Collision-Unkn Inj,I880 N / Washington Ave Ofr,Hayward,,,37.689197,-122.135642,4.0,1.0,68084.0,880.0,N,20.573,30.8,,401.0
18232513,GGHB,180919.0,2018-09-19 08:23:00,1125-Traffic Hazard,I580 W / I580 W Sr24 E Con,GGFSP,,,37.823382,-122.263913,4.0,1.0,53000.0,580.0,W,45.067,61.0,,46.0
18232528,GGHB,180919.0,2018-09-19 08:26:00,1182-Trfc Collision-No Inj,0 I580 W Sr24 E Con,GGFSP,,,37.825275,-122.267176,4.0,1.0,53000.0,580.0,W,45.267,61.2,,54.0
18234748,GGHB,180920.0,2018-09-20 08:22:00,1179-Trfc Collision-1141 Enrt,I580 W / Dougherty Rd N Onr,Hayward FSP,,,37.701903,-121.909282,4.0,1.0,57792.0,580.0,W,20.168,36.2,,54.0
17392509,GGHB,170812.0,2017-08-12 08:14:00,1125-Traffic Hazard,Sr4 W / Railroad Ave Onr,Contra Costa,,,38.018567,-121.895066,4.0,13.0,,4.0,W,22.743,22.348,,108.0
17396259,GGHB,170814.0,2017-08-14 08:12:00,1183-Trfc Collision-Unkn Inj,I80 W / Maritime St Ofr,Oakland,,,37.825643,-122.304094,4.0,1.0,53000.0,80.0,W,2.59,7.9,,157.0
17400574,GGHB,170816.0,2017-08-16 08:48:00,1179-Trfc Collision-1141 Enrt,I80 W / Carlson Blvd Onr,Oakland,,,37.907481,-122.315399,4.0,13.0,60620.0,80.0,W,0.754,14.1,,75.0
17402710,GGHB,170817.0,2017-08-17 08:32:00,1183-Trfc Collision-Unkn Inj,I80 W / Gilman St Ofr,Oakland FSP,,,37.881911,-122.308246,4.0,1.0,6000.0,80.0,W,6.79,12.1,,36.0
17402713,GGHB,170817.0,2017-08-17 08:28:00,1125A-Animal Hazard,Sr24 W / Telegraph Ave Ofr,Oakland,,,37.843503,-122.254967,4.0,1.0,53000.0,24.0,W,R3.547,1.7,,43.0
17415260,GGHB,170823.0,2017-08-23 07:19:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Bailey Rd N Ofr,Contra Costa,,,38.019101,-121.937152,4.0,13.0,,4.0,W,R20.379,20.036,,73.0
17417599,GGHB,170824.0,2017-08-24 08:24:00,1179-Trfc Collision-1141 Enrt,I580 W / Eden Canyon Rd Onr,Castro Valley,,,37.701118,-122.026103,4.0,1.0,,580.0,W,R26.668,42.7,,51.0
17417640,GGHB,170824.0,2017-08-24 08:48:00,1182-Trfc Collision-No Inj,I580 W / Eden Canyon Rd Onr,Hayward FSP,,,37.701118,-122.026103,4.0,1.0,,580.0,W,R26.668,42.7,,61.0
17419688,GGHB,170825.0,2017-08-25 07:15:00,CZP-Assist with Construction,0 I580 W,Oakland,,,37.763996,-122.150377,4.0,1.0,53000.0,580.0,W,R37.286,53.2,,427.0
17428144,GGHB,170829.0,2017-08-29 07:09:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Bailey Rd N Ofr,Contra Costa,,,38.019101,-121.937152,4.0,13.0,,4.0,W,R20.379,20.036,,55.0
17430485,GGHB,170830.0,2017-08-30 07:43:00,20002-Hit and Run No Injuries,I80 W / University Ave Ofr,Oakland,,,37.869523,-122.304749,4.0,1.0,6000.0,80.0,W,5.99,11.3,,138.0
17432823,GGHB,170831.0,2017-08-31 07:55:00,1125-Traffic Hazard,I580 W / Seminary Ave Ofr,Oakland FSP,,,37.779317,-122.170148,4.0,1.0,53000.0,580.0,W,R38.886,54.8,,37.0
14759651,GGHB,140303.0,2014-03-03 08:02:00,1182-Trfc Collision-No Inj,I80 W / Tp,San Francisco,,,37.824289,-122.313853,4.0,1.0,53000.0,80.0,W,,7.3,,76.0
14785304,GGHB,140311.0,2014-03-11 08:42:00,1166-Defective Traffic Signals,I580 W Dougherty Rd N Onr / I580 W,Dublin,,,37.701903,-121.909282,4.0,1.0,57792.0,580.0,W,,36.2,,79.0
14787184,GGHB,140312.0,2014-03-12 08:24:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Sr4 W San Marco Blvd N Onr,Contra Costa,,,38.023255,-121.966585,4.0,13.0,,4.0,W,,18.5,,201.0
14788929,GGHB,140313.0,2014-03-13 07:54:00,1179-Trfc Collision-1141 Enrt,I880 N / I880 N Lewelling Blvd Onr,Hayward,,,37.688328,-122.134397,4.0,1.0,68084.0,880.0,N,,30.7,,35.0
16954121,GGHB,170118.0,2017-01-18 07:06:00,1183-Trfc Collision-Unkn Inj,I80 W / Treasure Island Onr,San Francisco,,,37.808318,-122.367026,4.0,75.0,67000.0,80.0,W,7.64,4.1,,57.0
15046251,GGHB,140601.0,2014-06-01 07:07:00,ANIMAL-Live or Dead Animal,Sr24 W Upper Happy Valley Ofr / Unnamed Street,Contra Costa,,,37.89311,-122.155705,4.0,13.0,54232.0,24.0,W,,8.7,,88.0
15090806,GGHB,140624.0,2014-06-24 07:12:00,1183-Trfc Collision-Unkn Inj,Sr4 W / Sr4 W Railroad Ave Onr,Contra Costa FSP,,,38.018567,-121.895066,4.0,13.0,,4.0,W,,22.5,,86.0
16140529,GGHB,151214.0,2015-12-14 08:31:00,1179-Trfc Collision-1141 Enrt,Sr24 W / Old Tunnel Rd Ofr,Oakland,,,37.854472,-122.219756,4.0,1.0,53000.0,24.0,W,,4.0,,45.0
